[1, 0.16888754689478275]
[67, 0.050180938347964506]
[214, 0.038838843525983144]
[397, 0.016726979449321503]
[960, 0.07566552787669824]
[1058, 0.04695856808820911]
[1076, 0.2778291148765232]
[1134, 0.05302327035501599]
[1218, 0.1353673823845162]
[1659, 0.026511635177507997]
[1777, 0.04323861462682949]
[1893, 0.04695856808820911]
[2051, 0.0683709069454597]
[2127, 0.033453958898643006]
[2156, 0.08579741161419226]
[2245, 0.0962618849818455]
[2247, 0.06690791779728601]
[2359, 0.08041252698685211]
[3109, 0.0953511380174421]
[3220, 0.1051357937456286]
[3395, 0.07459282104060058]
[3533, 0.06535047870349114]
[3602, 0.026511635177507997]
[3606, 0.0786241585681206]
[3708, 0.0734702032657171]
[3776, 0.059965594076151]
[3835, 0.0683709069454597]
[4371, 0.05302327035501599]
[4432, 0.033453958898643006]
[4541, 0.079534905532524]
[4677, 0.06690791779728601]
[4714, 0.0953511380174421]
[4715, 0.026511635177507997]
[4740, 0.04323861462682949]
[4945, 0.0618971791187991]
[5064, 0.04695856808820911]
[5190, 0.059965594076151]
[5195, 0.0786241585681206]
[5397, 0.038838843525983144]
[5416, 0.08713841938907418]
[5434, 0.026511635177507997]
[5549, 0.05302327035501599]
[5746, 0.057865841591279096]
[6033, 0.10692416216436011]
[6110, 0.1469404065314342]
[6161, 0.08125934827069331]
[6267, 0.050180938347964506]
[6488, 0.07229280242462614]
[6527, 0.016726979449321503]
[6583, 0.026511635177507997]
[6595, 0.038838843525983144]
[6683, 0.050180938347964506]
[6734, 0.08840881429630709]
[6911, 0.2217782238925902]
[6958, 0.033453958898643006]
[6976, 0.06690791779728601]
[7002, 0.038838843525983144]
[7053, 0.0697502498043375]
[7376, 0.30108563008778705]
[7390, 0.07566552787669824]
[7539, 0.033453958898643006]
[7769, 0.0953511380174421]
[7792, 0.13381583559457202]
[7852, 0.0]
[8194, 0.026511635177507997]
[8215, 0.1941942176299157]
[8244, 0.05302327035501599]
[8278, 0.0734702032657171]
[8606, 0.033453958898643006]
[8642, 0.05302327035501599]
[8819, 0.038838843525983144]
[8863, 0.12558272665632972]
[8938, 0.026511635177507997]
[9013, 0.016726979449321503]
[9016, 0.033453958898643006]
[9019, 0.12737109507506122]
[9151, 0.050180938347964506]
[9217, 0.0962618849818455]
[9268, 0.038838843525983144]
[9320, 0.1307009574069823]
[9353, 0.050180938347964506]
[9440, 0.06368554753753061]
[9572, 0.1367418138909194]
[9704, 0.09756663139708625]
[9828, 0.11855184529342422]
[9896, 0.10036187669592901]
[10104, 0.0]
[10425, 0.07229280242462614]
[10441, 0.07459282104060058]
[10443, 0.119931188152302]
[10652, 0.12558272665632972]
[10659, 0.08901978187394764]
[10684, 0.08363489724660751]
[10824, 0.10036187669592901]
[11089, 0.07229280242462614]
[11191, 0.05302327035501599]
[11231, 0.050180938347964506]
[11279, 0.09076501903847957]
[11293, 0.12558272665632972]
[11347, 0.239862376304604]
[11372, 0.06535047870349114]
[11521, 0.05556582297530464]
[11683, 0.1300487033687996]
[11886, 0.04695856808820911]
[11893, 0.05302327035501599]
[11917, 0.06535047870349114]
[11958, 0.05018093834796451]
[12016, 0.1572483171362412]
[12023, 0.05556582297530464]
[12204, 0.033453958898643006]
[12264, 0.1300487033687996]
[12707, 0.026511635177507997]
[12739, 0.05556582297530464]
[12885, 0.057865841591279096]
[12950, 0.057865841591279096]
[12977, 0.11855184529342422]
[12996, 0.016726979449321503]
[13011, 0.033453958898643006]
[13075, 0.04323861462682949]
[13188, 0.057865841591279096]
[13190, 0.10604654071003199]
[13193, 0.04695856808820911]
[13204, 0.0734702032657171]
[13290, 0.016726979449321503]
[13337, 0.050180938347964506]
