[1, 3.0394141191761372]
[2, 2.737987326333431]
[3, 3.0394141191761372]
[4, 3.0394141191761372]
[5, 1.462397997898956]
[6, 3.0394141191761372]
[7, 1.3424226808222062]
[8, 3.0394141191761372]
[9, 2.5622928644564746]
[10, 2.737987326333431]
[11, 2.5622928644564746]
[12, 2.737987326333431]
[13, 2.737987326333431]
[14, 2.3404441148401185]
[15, 1.99563519459755]
[16, 1.4313637641589874]
[17, 3.0394141191761372]
[18, 3.0394141191761372]
[19, 3.0394141191761372]
[20, 3.0394141191761372]
[21, 2.737987326333431]
[22, 2.1931245983544616]
[23, 1.4771212547196624]
[24, 3.0394141191761372]
[25, 1.5314789170422551]
[26, 1.0]
[27, 2.5622928644564746]
[28, 3.0394141191761372]
[29, 1.0413926851582251]
[30, 2.5622928644564746]
[31, 2.436162647040756]
[32, 3.0394141191761372]
[33, 2.1931245983544616]
[34, 2.436162647040756]
[35, 3.0394141191761372]
[36, 2.037426497940624]
[37, 3.0394141191761372]
[38, 3.0394141191761372]
[39, 1.3222192947339193]
[40, 2.737987326333431]
[41, 3.0394141191761372]
[42, 2.436162647040756]
[43, 3.0394141191761372]
[44, 2.2600713879850747]
[45, 2.436162647040756]
[46, 2.1931245983544616]
[47, 2.5622928644564746]
[48, 1.3979400086720377]
[49, 2.0827853703164503]
[50, 3.0394141191761372]
[51, 3.0394141191761372]
[52, 2.737987326333431]
[53, 2.1931245983544616]
[54, 2.737987326333431]
[55, 1.591064607026499]
[56, 3.0394141191761372]
[57, 3.0394141191761372]
[58, 3.0394141191761372]
[59, 3.0394141191761372]
[60, 2.2600713879850747]
[61, 2.436162647040756]
[62, 3.0394141191761372]
[63, 3.0394141191761372]
[64, 2.436162647040756]
[65, 2.737987326333431]
[66, 2.737987326333431]
[67, 0.9030899869919435]
[68, 1.414973347970818]
[69, 1.5314789170422551]
[70, 2.5622928644564746]
[71, 1.99563519459755]
[72, 1.5185139398778875]
[73, 2.3404441148401185]
[74, 2.037426497940624]
[75, 0.8450980400142568]
[76, 3.0394141191761372]
[77, 3.0394141191761372]
[78, 0.9030899869919435]
[79, 3.0394141191761372]
[80, 2.737987326333431]
[81, 1.8920946026904804]
[82, 3.0394141191761372]
[83, 0.9030899869919435]
[84, 2.737987326333431]
[85, 2.737987326333431]
[86, 1.5440680443502757]
[87, 2.737987326333431]
[88, 1.2787536009528289]
[89, 3.0394141191761372]
[90, 3.0394141191761372]
[91, 3.0394141191761372]
[92, 3.0394141191761372]
[93, 2.3404441148401185]
[94, 3.0394141191761372]
[95, 2.3404441148401185]
[96, 2.5622928644564746]
[97, 3.0394141191761372]
[98, 2.737987326333431]
[99, 2.3404441148401185]
[100, 3.0394141191761372]
[101, 0.9542425094393249]
[102, 3.0394141191761372]
[103, 0.9030899869919435]
[104, 1.0413926851582251]
[105, 3.0394141191761372]
[106, 1.0791812460476249]
[107, 1.7558748556724915]
[108, 2.436162647040756]
[109, 2.737987326333431]
[110, 1.2041199826559248]
[111, 2.1335389083702174]
[112, 2.3404441148401185]
[113, 1.7781512503836436]
[114, 3.0394141191761372]
[115, 3.0394141191761372]
[116, 1.1760912590556813]
[117, 2.436162647040756]
[118, 1.2304489213782739]
[119, 3.0394141191761372]
[120, 0.7781512503836436]
[121, 2.3404441148401185]
[122, 3.0394141191761372]
[123, 2.1931245983544616]
[124, 2.436162647040756]
[125, 3.0394141191761372]
[126, 2.436162647040756]
[127, 2.737987326333431]
[128, 2.5622928644564746]
[129, 2.5622928644564746]
[130, 2.1931245983544616]
[131, 3.0394141191761372]
[132, 1.380211241711606]
[133, 3.0394141191761372]
[134, 2.0827853703164503]
[135, 0.9542425094393249]
[136, 3.0394141191761372]
[137, 1.4471580313422192]
[138, 3.0394141191761372]
[139, 3.0394141191761372]
[140, 2.737987326333431]
[141, 1.4313637641589874]
[142, 2.737987326333431]
[143, 3.0394141191761372]
[144, 2.737987326333431]
[145, 1.806179973983887]
[146, 3.0394141191761372]
[147, 3.0394141191761372]
[148, 3.0394141191761372]
[149, 3.0394141191761372]
[150, 3.0394141191761372]
[151, 3.0394141191761372]
[152, 2.436162647040756]
[153, 2.037426497940624]
[154, 1.2041199826559248]
[155, 3.0394141191761372]
[156, 1.7160033436347992]
[157, 3.0394141191761372]
[158, 2.737987326333431]
[159, 2.737987326333431]
[160, 2.737987326333431]
[161, 1.9590413923210936]
[162, 2.2600713879850747]
[163, 1.1139433523068367]
[164, 2.037426497940624]
[165, 2.737987326333431]
[166, 1.9242792860618816]
[167, 2.737987326333431]
[168, 2.3404441148401185]
[169, 3.0394141191761372]
[170, 2.5622928644564746]
[171, 3.0394141191761372]
[172, 3.0394141191761372]
[173, 1.3424226808222062]
[174, 1.568201724066995]
[175, 3.0394141191761372]
[176, 2.2600713879850747]
[177, 2.2600713879850747]
[178, 3.0394141191761372]
[179, 2.1931245983544616]
[180, 2.737987326333431]
[181, 1.863322860120456]
[182, 3.0394141191761372]
[183, 2.5622928644564746]
[184, 1.3617278360175928]
[185, 2.737987326333431]
[186, 3.0394141191761372]
[187, 3.0394141191761372]
[188, 2.737987326333431]
[189, 2.737987326333431]
[190, 1.9242792860618816]
[191, 3.0394141191761372]
[192, 1.591064607026499]
[193, 3.0394141191761372]
[194, 1.2041199826559248]
[195, 1.3424226808222062]
[196, 3.0394141191761372]
[197, 3.0394141191761372]
[198, 1.8920946026904804]
[199, 1.255272505103306]
[200, 1.3979400086720377]
[201, 1.9242792860618816]
[202, 3.0394141191761372]
[203, 3.0394141191761372]
[204, 1.3617278360175928]
[205, 3.0394141191761372]
[206, 0.9542425094393249]
[207, 1.8920946026904804]
[208, 1.1139433523068367]
[209, 3.0394141191761372]
[210, 1.9590413923210936]
[211, 1.6532125137753437]
[212, 3.0394141191761372]
[213, 3.0394141191761372]
[214, 0.6989700043360189]
[215, 2.2600713879850747]
[216, 2.5622928644564746]
[217, 3.0394141191761372]
[218, 1.146128035678238]
[219, 1.3424226808222062]
[220, 1.863322860120456]
[221, 3.0394141191761372]
[222, 3.0394141191761372]
[223, 3.0394141191761372]
[224, 1.3010299956639813]
[225, 3.0394141191761372]
[226, 1.863322860120456]
[227, 3.0394141191761372]
[228, 2.737987326333431]
[229, 3.0394141191761372]
[230, 1.7323937598229686]
[231, 3.0394141191761372]
[232, 3.0394141191761372]
[233, 0.7781512503836436]
[234, 2.737987326333431]
[235, 2.3404441148401185]
[236, 3.0394141191761372]
[237, 1.4913616938342726]
[238, 0.7781512503836436]
[239, 3.0394141191761372]
[240, 1.6020599913279623]
[241, 2.737987326333431]
[242, 3.0394141191761372]
[243, 3.0394141191761372]
[244, 2.436162647040756]
[245, 2.2600713879850747]
[246, 3.0394141191761372]
[247, 3.0394141191761372]
[248, 1.99563519459755]
[249, 2.1931245983544616]
[250, 1.3424226808222062]
[251, 3.0394141191761372]
[252, 2.436162647040756]
[253, 2.737987326333431]
[254, 3.0394141191761372]
[255, 3.0394141191761372]
[256, 2.5622928644564746]
[257, 3.0394141191761372]
[258, 2.5622928644564746]
[259, 3.0394141191761372]
[260, 3.0394141191761372]
[261, 2.5622928644564746]
[262, 2.737987326333431]
[263, 2.737987326333431]
[264, 2.5622928644564746]
[265, 3.0394141191761372]
[266, 3.0394141191761372]
[267, 2.436162647040756]
[268, 2.3404441148401185]
[269, 2.436162647040756]
[270, 3.0394141191761372]
[271, 3.0394141191761372]
[272, 3.0394141191761372]
[273, 3.0394141191761372]
[274, 2.3404441148401185]
[275, 1.7558748556724915]
[276, 3.0394141191761372]
[277, 2.5622928644564746]
[278, 3.0394141191761372]
[279, 1.6020599913279623]
[280, 3.0394141191761372]
[281, 3.0394141191761372]
[282, 3.0394141191761372]
[283, 3.0394141191761372]
[284, 1.7781512503836436]
[285, 3.0394141191761372]
[286, 2.436162647040756]
[287, 3.0394141191761372]
[288, 1.2041199826559248]
[289, 1.3617278360175928]
[290, 3.0394141191761372]
[291, 2.5622928644564746]
[292, 2.3404441148401185]
[293, 3.0394141191761372]
[294, 1.8920946026904804]
[295, 3.0394141191761372]
[296, 2.2600713879850747]
[297, 3.0394141191761372]
[298, 1.2304489213782739]
[299, 2.436162647040756]
[300, 2.037426497940624]
[301, 2.737987326333431]
[302, 2.0827853703164503]
[303, 3.0394141191761372]
[304, 3.0394141191761372]
[305, 3.0394141191761372]
[306, 3.0394141191761372]
[307, 3.0394141191761372]
[308, 3.0394141191761372]
[309, 2.737987326333431]
[310, 3.0394141191761372]
[311, 2.737987326333431]
[312, 3.0394141191761372]
[313, 2.5622928644564746]
[314, 2.3404441148401185]
[315, 3.0394141191761372]
[316, 3.0394141191761372]
[317, 3.0394141191761372]
[318, 3.0394141191761372]
[319, 2.737987326333431]
[320, 3.0394141191761372]
[321, 1.380211241711606]
[322, 2.737987326333431]
[323, 3.0394141191761372]
[324, 2.5622928644564746]
[325, 3.0394141191761372]
